x0000,y0000,x0001,y0001
4.999345,345.3682810494,4.999345,332.0523595042
5.400101,346.0389973995,5.400101,332.4677831967
5.800102,346.9283204197,5.800102,332.9926792247
6.200114,347.3030661921,6.200114,333.6533232160
6.600133,346.2967266843,6.600133,334.4801715774
7.000125,346.1849817089,7.000125,335.5091422816
7.40014,346.8124790923,7.40014,336.7825978039
7.800133,347.5555594944,7.800133,338.3495510898
8.200136,346.7802510125,8.200136,340.2668613319
8.600133,346.8356218149,8.600133,342.5994155841
9.000142,347.223912657,9.000142,345.4210450204
9.400135,346.9952400176,9.400135,348.8144350172
9.800145,347.2474186441,9.800145,352.8722004953
10.200127,346.8810686696,10.200127,357.6956681375
10.600142,348.3621205329,10.600142,363.3966891859
11.000136,353.6572836323,11.000136,370.094389624
11.400163,368.8414239639,11.400163,377.9174741936
11.800142,392.9928989157,11.800142,386.9986283481
12.200155,408.5561984481,12.200155,397.4788631733
12.600125,418.7394978845,12.600125,409.4979760196
13.000127,438.5820293088,13.000127,423.2000096736
13.400118,450.9328366912,13.400118,438.7222702605
13.80012,467.6371071375,13.80012,456.1974087392
14.20012,483.7014297254,14.20012,475.7457788359
14.600129,529.2698139044,14.600129,497.473438936
15.000116,530.0735389258,15.000116,521.4639327764
15.400135,572.2789881810,15.400135,547.7809059499
15.800139,606.3507641728,15.800139,576.4517926443
16.200138,613.7859458051,16.200138,607.4727789611
16.600134,656.0346761557,16.600134,640.8003834345
17.000164,647.7429209055,17.000164,676.3511793355
17.40018,719.0105739462,17.40018,713.9877846810
17.80018,717.6535228894,17.80018,753.527582835
18.200174,722.1985556822,18.200174,794.7389460724
18.60016,795.7221965852,18.60016,837.3387177426
19.00018,813.9098173613,19.00018,880.9993835144
19.400183,831.7157741113,19.400183,925.3367464881
19.800176,964.9391438384,19.800176,969.9303866135
20.200159,975.219304201,20.200159,1014.3223530024
20.600216,1064.6737847509,20.600216,1058.0340256296
21.000258,1150.4605889262,21.000258,1100.5461033149
21.400245,1175.4462560634,21.400245,1141.3333061817
21.80023,1163.6238193201,21.80023,1179.8784533468
22.200198,1321.573611713,22.200198,1215.6666608674
22.600283,1380.5134006489,22.600283,1248.2156022593
23.000326,1360.6245031178,23.000326,1277.0499431134
23.400306,1415.3508311025,23.400306,1301.7509294511
23.800271,1260.6601991586,23.800271,1321.9568734736
24.200233,1390.4960658368,24.200233,1337.3646043425
24.600379,1178.5677218927,24.600379,1347.7431555292
25.000451,1343.8423395672,25.000451,1352.92421722
25.400434,1305.2173736082,25.400434,1352.830723773
25.800452,1295.5193145717,25.800452,1347.4651582483
26.200456,1389.4536462822,26.200456,1336.910640676
26.600366,1351.6071105944,26.600366,1321.3334874104
27.000372,1404.4283238766,27.000372,1300.9635383521
27.400363,1157.6763034039,27.400363,1276.1114092794
27.800335,1157.1295371588,27.800335,1247.1457829410
28.200358,1048.6267382074,28.200358,1214.4814424601
28.600375,1171.0131215029,28.600375,1178.5850798548
29.000434,1247.8991934836,29.000434,1139.9461447384
29.400446,1000.1319981965,29.400446,1099.0875890106
29.800375,1091.7584565838,29.800375,1056.5371501377
30.200361,1102.7099661048,30.200361,1012.8010492392
30.60036,957.5098670064,30.60036,968.3924220561
31.000393,877.9641029795,31.000393,923.7957748498
31.400452,964.8721688339,31.400452,879.4689207657
31.800353,894.6120189381,31.800353,835.8517335826
32.200341,726.8832218495,32.200341,793.2943587829
32.600335,862.7560681414,32.600335,752.1361831837
33.000333,651.4102337278,33.000333,712.6586157542
33.400343,684.0256898010,33.400343,675.0916971342
33.800349,702.3655411534,33.800349,639.6174657626
34.200381,675.9417825233,34.200381,606.3650743815
34.600396,658.6385383976,34.600396,575.4234039307
35.000411,532.4748617731,35.000411,546.8331433068
35.40034,508.0019925309,35.40034,520.6027608176
35.800178,553.4027350963,35.800178,496.6995647583
36.20017,420.6595475296,36.20017,475.0482294693
36.600163,419.1829485609,36.600163,455.5722655049
37.00016,373.9344996609,37.00016,438.1655116235
37.400163,356.8622946272,37.400163,422.7066603541
37.800202,353.3231676911,37.800202,409.0627397564
38.200255,350.3535897232,38.200255,397.0959739896
38.600355,348.8490828621,38.600355,386.6637654584
39.000334,347.8648686869,39.000334,377.6282161176
39.400274,348.1076065661,39.400274,369.8475935049
39.800212,348.0053519832,39.800212,363.1869034364
40.200203,346.9623937256,40.200203,357.5179828180
40.600164,346.5749505967,40.600164,352.7225518265
41.000177,346.9241179595,41.000177,348.6889143656
41.400288,347.6612797337,41.400288,345.3154879542
41.800249,346.7843912481,41.800249,342.5122231613
42.200188,347.1675881292,42.200188,340.1953045081
42.600185,346.3031249598,42.600185,338.2909388468
43.000199,347.2773597805,43.000199,336.7347665053
43.400195,346.5410998778,43.400195,335.4704439403
43.80018,347.5388105339,43.80018,334.4490111083
44.200177,347.4151477371,44.200177,333.6284011608
44.600179,346.4948052141,44.600179,332.9728407046
45.0002,346.9946518614,45.0002,332.4520446607
